Station,Date(NZST),Tair(C),Twet(C),RH(%),Tdew(C)
15752,20170110:1100,17.6,13.8,63.0,10.5
3925,20170110:1100,20.2,15.2,56.0,11.2
15752,20170110:1200,16.5,13.2,67.0,10.4
3925,20170110:1200,21.7,16.2,54.0,12.0
15752,20170110:1300,17.4,13.0,58.0,9.1
3925,20170110:1300,22.2,16.8,55.0,12.8
15752,20170110:1400,15.9,12.7,67.0,9.8
3925,20170110:1400,21.3,16.9,62.0,13.7
15752,20170110:1500,15.1,11.9,66.0,8.8
3925,20170110:1500,20.3,16.4,65.0,13.5
15752,20170110:1600,15.2,12.2,68.0,9.4
3925,20170110:1600,20.3,16.3,64.0,13.3
15752,20170110:1700,14.4,11.7,71.0,9.2
3925,20170110:1700,19.6,16.0,67.0,13.3
15752,20170110:1800,14.8,11.7,67.0,8.8
3925,20170110:1800,18.1,15.1,71.0,12.8
15752,20170110:1900,14.3,11.6,70.0,8.9
3925,20170110:1900,17.2,14.6,74.0,12.5
15752,20170110:2000,14.1,11.8,74.0,9.6
3925,20170110:2000,15.8,13.7,78.0,12.0
15752,20170110:2100,13.3,11.3,77.0,9.4
3925,20170110:2100,15.0,13.3,82.0,12.0
15752,20170110:2200,13.2,11.1,76.0,9.1
3925,20170110:2200,14.2,13.3,90.0,12.6
15752,20170110:2300,13.6,11.1,72.0,8.7
3925,20170110:2300,13.6,12.9,92.0,12.3
15752,20170111:0000,13.5,11.0,72.0,8.6
3925,20170111:0000,13.2,12.6,93.0,12.1
15752,20170111:0100,12.8,11.1,80.0,9.5
3925,20170111:0100,12.9,12.4,94.0,12.0
15752,20170111:0200,12.5,11.2,84.0,9.9
3925,20170111:0200,12.6,12.3,96.0,12.0
15752,20170111:0300,12.5,11.2,84.0,9.9
3925,20170111:0300,12.7,12.4,96.0,12.1
15752,20170111:0400,12.0,10.9,87.0,9.9
3925,20170111:0400,12.8,12.5,96.0,12.2
15752,20170111:0500,11.9,11.0,89.0,10.2
3925,20170111:0500,12.7,12.4,96.0,12.1
15752,20170111:0600,12.5,11.4,87.0,10.4
3925,20170111:0600,12.9,12.6,96.0,12.3
15752,20170111:0700,13.8,12.0,80.0,10.4
3925,20170111:0700,13.6,13.3,96.0,13.0
15752,20170111:0800,14.7,12.6,77.0,10.7
3925,20170111:0800,15.4,14.7,92.0,14.1
15752,20170111:0900,15.9,13.4,74.0,11.3
3925,20170111:0900,17.2,16.2,90.0,15.6
15752,20170111:1000,15.8,13.4,75.0,11.4
3925,20170111:1000,18.3,16.5,82.0,15.2
15752,20170111:1100,16.6,13.9,73.0,11.8
3925,20170111:1100,18.5,17.2,87.0,16.3
15752,20170111:1200,18.2,14.9,68.0,12.2
3925,20170111:1200,19.0,17.3,84.0,16.2
15752,20170111:1300,17.6,14.5,70.0,12.1
3925,20170111:1300,20.1,18.1,81.0,16.7
15752,20170111:1400,20.6,16.4,63.0,13.3
3925,20170111:1400,21.0,18.3,76.0,16.6
15752,20170111:1500,19.4,15.8,67.0,13.1
3925,20170111:1500,22.1,18.7,71.0,16.6
15752,20170111:1600,17.8,15.2,74.0,13.1
3925,20170111:1600,21.8,18.3,70.0,16.1
15752,20170111:1700,16.8,14.7,79.0,13.1
3925,20170111:1700,21.8,18.3,70.0,16.1
15752,20170111:1800,15.9,14.2,82.0,12.8
3925,20170111:1800,21.1,16.1,57.0,12.3
15752,20170111:1900,15.6,14.0,83.0,12.7
3925,20170111:1900,18.8,16.1,74.0,14.1
15752,20170111:2000,16.0,13.9,78.0,12.2
3925,20170111:2000,17.2,15.4,82.0,14.1
15752,20170111:2100,16.2,14.6,83.0,13.3
3925,20170111:2100,16.5,15.0,84.0,13.8
15752,20170111:2200,16.0,14.4,83.0,13.1
3925,20170111:2200,15.7,14.8,90.0,14.1
15752,20170111:2300,16.5,14.5,79.0,12.9
3925,20170111:2300,15.7,15.0,92.0,14.4
15752,20170112:0000,18.8,14.2,58.0,10.4
3925,20170112:0000,15.9,15.4,95.0,15.1
15752,20170112:0100,17.9,14.9,71.0,12.6
